date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:02	603/603	---M--	200	added ('OK')	application/javascript	etag:%2265df8ac97d45d01:0%22	http://www.livebroker.com.au/CMSWebParts/Firstmac/Retail/LiveBroker/contactForm.js	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/CMSWebParts/Firstmac/Retail/LiveBroker/contactForm.js	(from http://www.livebroker.com.au/)
10:54:02	3029/3029	---M--	200	added ('OK')	application/javascript	etag:%224b88394b8646d01:0%22	http://www.livebroker.com.au/CMSWebParts/Firstmac/Retail/LiveBroker/bookAppointment.js	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/CMSWebParts/Firstmac/Retail/LiveBroker/bookAppointment.js	(from http://www.livebroker.com.au/)
10:54:02	40939/40939	---M--	200	added ('OK')	application/javascript	etag:%22e8ba90aaf68bce1:0%22	http://www.livebroker.com.au/Libraries/knockout/knockout.min.js	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Libraries/knockout/knockout.min.js	(from http://www.livebroker.com.au/)
10:54:03	24745/24745	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2002%20Jun%202016%2000:54:02%20GMT	http://use.typekit.net/odv3too.js	C:/temp/websites/livebroker/LiveBroker/use.typekit.net/odv3too.js	(from http://www.livebroker.com.au/)
10:54:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Jun%202016%2000:54:03%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/temp/websites/livebroker/LiveBroker/www.googletagmanager.com/gtm.165445.delayed	(from http://www.livebroker.com.au/)
10:54:04	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22b29f7977546d01:0%22	http://www.livebroker.com.au/favicon.ico	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/favicon.ico	(from http://www.livebroker.com.au/)
10:54:04	23/23	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202016%2000:15:11%20GMT	http://www.livebroker.com.au/CMSPages/GetResource.ashx?_templates=23447;23450	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/CMSPages/components1166.css	(from http://www.livebroker.com.au/)
10:54:05	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202016%2000:54:04%20GMT	http://www.livebroker.com.au/gecko/	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/gecko/index.html	(from http://www.livebroker.com.au/)
10:54:05	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202016%2000:54:04%20GMT	http://www.livebroker.com.au/applewebkit/	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/applewebkit/index.html	(from http://www.livebroker.com.au/)
10:54:05	494/494	---MC-	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202016%2000:15:12%20GMT	http://www.livebroker.com.au/CMSPages/GetResource.ashx?_transformations=4024;4020	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/CMSPages/componentsd3c6.css	(from http://www.livebroker.com.au/)
10:54:05	22346/22346	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2001%20Oct%202015%2013:26:07%20GMT	http://www.livebroker.com.au/WebResource.axd?d=1zNsF2nMau0dpP2DA0PDf_l9XmW-ZIYKTnFJy1AMU5S3w5xdB2OBti4ukNDyGoNVM638XNfRmuZ2afATK7KnxgVCvChUAWFHAKGeZsp1WGk1&t=635793387671809273	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/WebResourceff2e.js	(from http://www.livebroker.com.au/)
10:54:06	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jun%202016%2000:54:04%20GMT	http://www.livebroker.com.au/mozilla/	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/mozilla/index.html	(from http://www.livebroker.com.au/)
10:54:06	89394/89394	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Jun%202016%2000:53:17%20GMT	http://www.livebroker.com.au/ScriptResource.axd?d=wNrmboylj47vhtAdrJzoFfsq50kp3SpUh1o7e4FpZeYyPz3515bBSpZ_AKMkr49X53HNP3LtVlcoX_M1wpY5zs2y5f89pfsjhlaPXdYgD0t9u1X1QXjWbMh12dw52zFw0&t=7c776dc1	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/ScriptResource8b8b.js	(from http://www.livebroker.com.au/)
10:54:07	37296/37296	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Jun%202016%2000:53:17%20GMT	http://www.livebroker.com.au/ScriptResource.axd?d=9q0YR4AJJWZtucfMC0pLashWUIocJ2LLTWUAz3uGKTIlqSTIguLU-1Nn-FlqKd8LJQpB7MseRDcecuqWgUJiGJk2IHZpcXJYmRSy8UCPZyh_VBTOLjZ990Gdly2pVUkqGWu1Y6Qnlq_NWEyf4B7rtQ2&t=7c776dc1	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/ScriptResourcee0cb.js	(from http://www.livebroker.com.au/)
10:54:07	48973/48973	---M--	200	added ('OK')	application/javascript	etag:%22fa1279d5265d01:0%22	http://www.livebroker.com.au/Libraries/jquery-cycle2/jquery.cycle2.js	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Libraries/jquery-cycle2/jquery.cycle2.js	(from http://www.livebroker.com.au/)
10:54:08	86278/86278	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:54:07%20GMT	http://www.livebroker.com.au/Choose-and-Compare	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Choose-and-Compare.html	(from http://www.livebroker.com.au/)
10:54:09	23072/23072	---M--	200	added ('OK')	image/png	etag:%22c3872ef25d46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/LB_logo.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/LB_logo.png	(from http://www.livebroker.com.au/)
10:54:10	68455/68455	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:54:08%20GMT	http://www.livebroker.com.au/Calculators	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Calculators.html	(from http://www.livebroker.com.au/)
10:54:12	73669/73669	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:54:08%20GMT	http://www.livebroker.com.au/Expert-Advice	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/Expert-Advice.html	(from http://www.livebroker.com.au/)
10:54:14	78530/78530	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202016%2000:54:11%20GMT	http://www.livebroker.com.au/About-Us	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/About-Us.html	(from http://www.livebroker.com.au/)
10:54:14	16738/16738	---M--	200	added ('OK')	application/javascript	etag:%229e2f26555c4d01:0%22	http://www.livebroker.com.au/CMSWebParts/Firstmac/Retail/CanstarLoanComparison_LiveBroker_Mini_files/script.js	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/CMSWebParts/Firstmac/Retail/CanstarLoanComparison_LiveBroker_Mini_files/script.js	(from http://www.livebroker.com.au/)
10:54:19	19549/19549	---M--	200	added ('OK')	image/png	etag:%225e2835b5e46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/qualifiedExperts_icon.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/qualifiedExperts_icon.png	(from http://www.livebroker.com.au/)
10:54:19	19503/19503	---M--	200	added ('OK')	image/png	etag:%2251b4c1f05d46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/friendlyAndProfessional_icon.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/friendlyAndProfessional_icon.png	(from http://www.livebroker.com.au/)
10:54:19	19717/19717	---M--	200	added ('OK')	image/png	etag:%2254824f05e46d01:0%22	http://www.livebroker.com.au/media/LiveBroker/General/locatedInAustralia.png	C:/temp/websites/livebroker/LiveBroker/www.livebroker.com.au/media/LiveBroker/General/locatedInAustralia.png	(from http://www.livebroker.com.au/)
